"Name","C","dp","lr","wd","eps","gpu","logs","name","rank","seed","beta1","beta2","debug","model","wandb","epochs","resume","val_sz","warmup","workers","dist_url","log_path","multigpu","train_sz","val_data","aggregate","debug_run","log_level","precision","report_to","save_logs","batch_size","mimic3_val","train_data","world_size","csv_img_key","distributed","imagenet_v2","tensorboard","use_bn_sync","wandb_notes","dataset_type","dist_backend","imagenet_val","lr_scheduler","copy_codebase","csv_separator","ngpus_per_node","restart_cycles","save_frequency","skip_aggregate","skip_scheduler","batch_size_eval","checkpoint_path","csv_caption_key","omit_embeddings","save_most_recent","tensorboard_path","openai_pretrained","resume_pretrained","zeroshot_frequency","regression_frequency","text_embedding_dimension","_wandb","omit_eventsdata","_wandb.runtime","val/image_to_text_R@5","val/image_to_text_mean_rank","train/batch_time","val/text_to_image_R@10","step","val/image_to_text_R@10","val/image_to_text_median_rank","val/text_to_image_median_rank","val/epoch","Wall Time","train/loss","Relative Time (Process)","train/lr","val/text_to_image_mean_rank","epoch","final_image","train/data_time","val/text_to_image_R@1","train/scale","train/images","val/text_to_image_R@5","val/images","val/val_loss","Step","val/num_elements","val/image_to_text_R@1"
"Sent2Vec","3.16","false","0.014142","0.001","0.000001","0","./logs/","lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-17-15-11-57","0","1234","0.9","0.98","false","LSTMCNN-EMB","true","45","","4204","1500","1","tcp://127.0.0.1:6100","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-17-15-11-57/out.log","","17397","./data/mimic3/new_test_data_unique_embed_s2v.pickle","true","false","20","amp","all","true","128","","./data/mimic3/new_extended_data_unique_embed_s2v.pickle","1","filepath","false","","true","false","SentVec","mimic-emb","nccl","","cosine","false","	","1","1","1","false","false","128","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-17-15-11-57/checkpoints","title","false","false","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-17-15-11-57/tensorboard","false","","2","2","700","{""desc"":null,""value"":{""t"":{""1"":[1,5,11,41,49],""2"":[1,5,11,41,49],""3"":[2,3,15,16],""4"":""3.8.12"",""5"":""0.12.11"",""6"":""4.12.5"",""8"":[5]},""framework"":""huggingface"",""start_time"":1647526323,""cli_version"":""0.12.11"",""is_jupyter_run"":false,""python_version"":""3.8.12"",""is_kaggle_kernel"":false,""huggingface_version"":""4.12.5""}}","","962","0.5273549000951475","30.98905803996194","0.035538673400878906","0.6681731684110371","6040","0.6546146527117032","5","5","45","1647527282","0.01716422289609909","959","0.0000019271099616136235","30.141294005708847","45","{""path"":""media/images/final_image_1102_3ab278bd77a8d993df32.png"",""size"":24141150,""_type"":""image-file"",""width"":4204,""format"":""png"",""height"":4204,""sha256"":""3ab278bd77a8d993df323b98fe9695cd7fb28599211a115d558186b2a577e3b1"",""caption"":""lpi_44.png""}","0.0002372264862060547","0.25903901046622263","4.605199813842773","{""format"":""png"",""height"":128,""sha256"":""77dd50930a7681a41f865fad10d192dca51be01c05826e9509aa0d8607f8d52c"",""caption"":""train_lpi_44_0.png"",""path"":""media/images/train/images_1116_77dd50930a7681a41f86.png"",""size"":26730,""_type"":""image-file"",""width"":128}","0.5359181731684111","{""size"":26965,""_type"":""image-file"",""width"":128,""format"":""png"",""height"":128,""sha256"":""f670579ea2f642efd99080114419c5eb99629374a0953daa02e2b7d61fc58e75"",""caption"":""eval_lpi_45_0.png"",""path"":""media/images/val/images_1127_f670579ea2f642efd990.png""}","1.3380388021469116","1140","4204","0.2466698382492864"
"Sent2Vec Ablation: chart events & discharge notes","3.16","false","0.014142","0.001","0.000001","0","./logs/","lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-05-17-15-18-34","0","1234","0.9","0.98","false","LSTMCNN-EMB","true","45","","4204","1500","1","tcp://127.0.0.1:6100","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-05-17-15-18-34/out.log","","17397","/home/thetaphipsi/MasterAI/src/CNEP/src/data/mimic3/new_test_data_unique_embed_s2v.pickle","true","false","20","amp","all","true","128","","/home/thetaphipsi/MasterAI/src/CNEP/src/data/mimic3/new_extended_data_unique_embed_s2v.pickle","1","filepath","false","","true","false","Sent2Vec ablation study chart events vs discharge notes","mimic-emb","nccl","","cosine","false","	","1","1","1","false","false","128","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-05-17-15-18-34/checkpoints","title","true","false","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-05-17-15-18-34/tensorboard","false","","2","2","700","{""desc"":null,""value"":{""t"":{""1"":[1,5,11,41,49,53,55],""2"":[1,5,11,41,49,53,55],""3"":[2,3,15,16],""4"":""3.8.12"",""5"":""0.12.16"",""6"":""4.12.5"",""8"":[5]},""framework"":""huggingface"",""start_time"":1652793519,""cli_version"":""0.12.16"",""is_jupyter_run"":false,""python_version"":""3.8.12"",""is_kaggle_kernel"":false,""huggingface_version"":""4.12.5""}}","","915","0.4196003805899144","53.0535204567079","0.03164076805114746","0.5594671741198858","6040","0.5406755470980019","8","8","45","1652794431","0.02511800453066826","912","0.0000019271099616136235","49.600142721217885","45","{""size"":23807952,""_type"":""image-file"",""width"":4204,""format"":""png"",""height"":4204,""sha256"":""6344b00725720e823d14f8b0be83590ff713acc09cd930357d5c9ecaeefedeac"",""caption"":""lpi_44.png"",""path"":""media/images/final_image_1102_6344b00725720e823d14.png""}","0.0002160072326660156","0.19100856327307325","4.605198860168457","{""caption"":""train_lpi_44_0.png"",""path"":""media/images/train/images_1116_e6bb04608c85a4b9024e.png"",""size"":27622,""_type"":""image-file"",""width"":128,""format"":""png"",""height"":128,""sha256"":""e6bb04608c85a4b9024e303e23436e205e9c0e47543c11d5d3c0ca5fd8cc1bdc""}","0.43744053282588014","{""sha256"":""e52406b4980e80e4b6fe84e8725b6d19a76bc5e414329ae7f8f062bc202e3cab"",""caption"":""eval_lpi_45_0.png"",""path"":""media/images/val/images_1127_e52406b4980e80e4b6fe.png"",""size"":27483,""_type"":""image-file"",""width"":128,""format"":""png"",""height"":128}","1.9933487176895144","1140","4204","0.1845861084681256"
"GPT-2","3.16","false","0.014142","0.001","0.000001","0","./logs/","lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-18-15-50-54","0","1234","0.9","0.98","false","LSTMCNN-EMB","true","45","","4204","1500","1","tcp://127.0.0.1:6100","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-18-15-50-54/out.log","","17397","./data/mimic3/new_test_data_unique_embed_GPT-2_chunked_meanpooler_prepro.pickle","true","false","20","amp","all","true","128","","./data/mimic3/new_extended_data_unique_embed_GPT-2_chunked_meanpooler_prepro.pickle","1","filepath","false","","true","false","BioBERT chunked meanpooler prepro","mimic-emb","nccl","","cosine","false","	","1","1","1","false","false","128","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-18-15-50-54/checkpoints","title","false","false","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-18-15-50-54/tensorboard","false","","2","2","1280","{""desc"":null,""value"":{""t"":{""1"":[1,5,11,41,49],""2"":[1,5,11,41,49],""3"":[2,3,15,16],""4"":""3.8.12"",""5"":""0.12.11"",""6"":""4.12.5"",""8"":[5]},""framework"":""huggingface"",""start_time"":1647615061,""cli_version"":""0.12.11"",""is_jupyter_run"":false,""python_version"":""3.8.12"",""is_kaggle_kernel"":false,""huggingface_version"":""4.12.5""}}","","979","0.3939105613701237","54.389628924833495","0.037821292877197266","0.5176022835394862","6040","0.5152235965746907","10","10","45","1647616036","0.048870813101530075","975","0.0000019271099616136235","54.17816365366318","45","{""width"":4204,""format"":""png"",""height"":4204,""sha256"":""64b7fd1723eb9ffba6c115244b6d57e42e14757e9b19b37f4420b3d6e527483d"",""caption"":""lpi_44.png"",""path"":""media/images/final_image_1102_64b7fd1723eb9ffba6c1.png"",""size"":23912081,""_type"":""image-file""}","0.00022602081298828125","0.16508087535680305","4.605199813842773","{""sha256"":""6cfc66c27eafd69cebe4607a246ef02edf16e9b1e2757dacc6720915824b6458"",""caption"":""train_lpi_44_0.png"",""path"":""media/images/train/images_1116_6cfc66c27eafd69cebe4.png"",""size"":26932,""_type"":""image-file"",""width"":128,""format"":""png"",""height"":128}","0.3905803996194101","{""size"":27154,""_type"":""image-file"",""width"":128,""format"":""png"",""height"":128,""sha256"":""c7c35b0e89ad57840eb75292ca472031baa3b76d7e5a89642db9f5d3ffe664e0"",""caption"":""eval_lpi_45_0.png"",""path"":""media/images/val/images_1127_c7c35b0e89ad57840eb7.png""}","2.0243802070617676","1140","4204","0.1615128449096099"
"SentenceTransformer","3.16","false","0.014142","0.001","0.000001","0","./logs/","lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-20-21-12-00","0","1234","0.9","0.98","false","LSTMCNN-EMB","true","45","","4204","1500","1","tcp://127.0.0.1:6100","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-20-21-12-00/out.log","","17397","./data/mimic3/new_test_data_unique_embed_SentenceTransformer_chunked_prepro.pickle","true","false","20","amp","all","true","128","","./data/mimic3/new_extended_data_unique_embed_SentenceTransformer_chunked_prepro.pickle","1","filepath","false","","true","false","SentenceTransformer chunked prepro","mimic-emb","nccl","","cosine","false","	","1","1","1","false","false","128","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-20-21-12-00/checkpoints","title","false","false","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-20-21-12-00/tensorboard","false","","2","2","768","{""desc"":null,""value"":{""t"":{""1"":[1,5,11,41,49],""2"":[1,5,11,41,49],""3"":[2,3,15,16],""4"":""3.8.12"",""5"":""0.12.11"",""6"":""4.12.5"",""8"":[5]},""framework"":""huggingface"",""start_time"":1647807126,""cli_version"":""0.12.11"",""is_jupyter_run"":false,""python_version"":""3.8.12"",""is_kaggle_kernel"":false,""huggingface_version"":""4.12.5""}}","","938","0.327069457659372","76.60061845861085","0.0368189811706543","0.4467174119885823","6040","0.43720266412940056","15","14","45","1647808060","0.04454641416668892","934","0.0000019271099616136235","76.38106565176022","45","{""format"":""png"",""height"":4204,""sha256"":""1f6280a6575c2f0026548f277d64333e159763aae2c6c45d7d766fe6f0c1a41d"",""caption"":""lpi_44.png"",""path"":""media/images/final_image_1102_1f6280a6575c2f002654.png"",""size"":23466384,""_type"":""image-file"",""width"":4204}","0.00025653839111328125","0.12868696479543293","4.581230163574219","{""size"":27331,""_type"":""image-file"",""width"":128,""format"":""png"",""height"":128,""sha256"":""a4f3d90d3d58ab5c005e7fa183fa55da29f4fed2e235ee5f7ae860de56504ac3"",""caption"":""train_lpi_44_0.png"",""path"":""media/images/train/images_1116_a4f3d90d3d58ab5c005e.png""}","0.3301617507136061","{""size"":27257,""_type"":""image-file"",""width"":128,""format"":""png"",""height"":128,""sha256"":""389a7631b3fea39cbd99787f8b28eb31e5b26927f23dd313835998b9a58a407d"",""caption"":""eval_lpi_45_0.png"",""path"":""media/images/val/images_1127_389a7631b3fea39cbd99.png""}","2.680497407913208","1140","4204","0.13487155090390104"
"CliBERT","3.16","false","0.014142","0.001","0.000001","0","./logs/","lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-17-20-03-01","0","1234","0.9","0.98","false","LSTMCNN-EMB","true","45","","4204","1500","1","tcp://127.0.0.1:6100","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-17-20-03-01/out.log","","17397","./data/mimic3/new_test_data_unique_embed_CliBERT_2m_chunked_meanpooler_prepro.pickle","true","false","20","amp","all","true","128","","./data/mimic3/new_extended_data_unique_embed_CliBERT_2m_chunked_meanpooler_prepro.pickle","1","filepath","false","","true","false","CliBERT 2m chunked prepro","mimic-emb","nccl","","cosine","false","	","1","1","1","false","false","128","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-17-20-03-01/checkpoints","title","false","false","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-17-20-03-01/tensorboard","false","","2","2","768","{""desc"":null,""value"":{""t"":{""1"":[1,5,11,41,49],""2"":[1,5,11,41,49],""3"":[2,3,15,16],""4"":""3.8.12"",""5"":""0.12.11"",""6"":""4.12.5"",""8"":[5]},""framework"":""huggingface"",""start_time"":1647543787,""cli_version"":""0.12.11"",""is_jupyter_run"":false,""python_version"":""3.8.12"",""is_kaggle_kernel"":false,""huggingface_version"":""4.12.5""}}","","970","0.3142245480494767","73.38796384395813","0.04080653190612793","0.4398192197906755","6040","0.4376784015223597","14","14","45","1647544752","0.11088881641626358","965","0.0000019271099616136235","71.85608943862988","45","{""path"":""media/images/final_image_1102_58c98135e36ef39dc17c.png"",""size"":23599821,""_type"":""image-file"",""width"":4204,""format"":""png"",""height"":4204,""sha256"":""58c98135e36ef39dc17c0d6e97e19de3c39917bb64293d583fa3e982e0e13537"",""caption"":""lpi_44.png""}","0.00026416778564453125","0.12464319695528069","4.605199813842773","{""size"":27785,""_type"":""image-file"",""width"":128,""format"":""png"",""height"":128,""sha256"":""384f522590ea5e60528db9885b05c89de6897d8731f0d015ed6749d68fb47131"",""caption"":""train_lpi_44_0.png"",""path"":""media/images/train/images_1116_384f522590ea5e60528d.png""}","0.31612749762131304","{""format"":""png"",""height"":128,""sha256"":""ac439f7d3360ad7a7d089eb6220024b5674f9c019ee9ce4852c8ce7f2e42c23f"",""caption"":""eval_lpi_45_0.png"",""path"":""media/images/val/images_1127_ac439f7d3360ad7a7d08.png"",""size"":26889,""_type"":""image-file"",""width"":128}","2.328953504562378","1140","4204","0.11964795432921028"
"Sent2Vec Ablation: no chart events, non-discharge vs discharge notes","3.16","false","0.014142","0.001","0.000001","0","./logs/","lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-05-17-16-14-58","0","1234","0.9","0.98","false","LSTMCNN-EMB","true","45","","4204","1500","1","tcp://127.0.0.1:6100","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-05-17-16-14-58/out.log","","17397","/home/thetaphipsi/MasterAI/src/CNEP/src/data/mimic3/new_test_data_unique_embed_s2v.pickle","true","false","20","amp","all","true","128","","/home/thetaphipsi/MasterAI/src/CNEP/src/data/mimic3/new_extended_data_unique_embed_s2v.pickle","1","filepath","false","","true","false","Sent2Vec ablation study chart events vs discharge notes","mimic-emb","nccl","","cosine","false","	","1","1","1","false","false","128","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-05-17-16-14-58/checkpoints","title","false","false","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-05-17-16-14-58/tensorboard","false","","2","2","700","{""desc"":null,""value"":{""t"":{""1"":[1,5,11,41,49,53,55],""2"":[1,5,11,41,49,53,55],""3"":[2,3,15,16],""4"":""3.8.12"",""5"":""0.12.16"",""6"":""4.12.5"",""8"":[5]},""framework"":""huggingface"",""start_time"":1652796902,""cli_version"":""0.12.16"",""is_jupyter_run"":false,""python_version"":""3.8.12"",""is_kaggle_kernel"":false,""huggingface_version"":""4.12.5""}}","true","695","0.3313510941960038","191.66127497621312","0.009094476699829102","0.41817316841103713","6040","0.4157944814462417","20","19","45","1652797596","0.016263432800769806","694","0.0000019271099616136235","172.53568030447192","45","{""format"":""png"",""height"":4204,""sha256"":""ffc0c05669b026ac5779021c12f3619555caf0d14fd65b39ade0d6e34ba70d68"",""caption"":""lpi_44.png"",""path"":""media/images/final_image_1102_ffc0c05669b026ac5779.png"",""size"":23815000,""_type"":""image-file"",""width"":4204}","0.0053369998931884766","0.15913415794481447","4.605199813842773","{""caption"":""train_lpi_44_0.png"",""path"":""media/images/train/images_1116_89ec81e6bec5febe4345.png"",""size"":27025,""_type"":""image-file"",""width"":128,""format"":""png"",""height"":128,""sha256"":""89ec81e6bec5febe43455fa9e341b971c7e8f653f7963391d5ef902c20b94045""}","0.3356327307326356","{""size"":27649,""_type"":""image-file"",""width"":128,""format"":""png"",""height"":128,""sha256"":""d3ec86433f9aae1c319cfeb7c5c4fd2d8a0d8e88328e2e5a2d2876bf548cafc9"",""caption"":""eval_lpi_45_0.png"",""path"":""media/images/val/images_1127_d3ec86433f9aae1c319c.png""}","3.759812116622925","1140","4204","0.15080875356803045"
"BioBERT","3.16","false","0.014142","0.001","0.000001","0","./logs/","lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-17-20-55-28","0","1234","0.9","0.98","false","LSTMCNN-EMB","true","45","","4204","1500","1","tcp://127.0.0.1:6100","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-17-20-55-28/out.log","","17397","./data/mimic3/new_test_data_unique_embed_BioBERT_chunked_meanpooler_prepro.pickle","true","false","20","amp","all","true","128","","./data/mimic3/new_extended_data_unique_embed_BioBERT_chunked_meanpooler_prepro.pickle","1","filepath","false","","true","false","BioBERT chunked meanpooler prepro","mimic-emb","nccl","","cosine","false","	","1","1","1","false","false","128","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-17-20-55-28/checkpoints","title","false","false","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-17-20-55-28/tensorboard","false","","2","2","768","{""desc"":null,""value"":{""t"":{""1"":[1,5,11,41,49],""2"":[1,5,11,41,49],""3"":[2,3,15,16],""4"":""3.8.12"",""5"":""0.12.11"",""6"":""4.12.5"",""8"":[5]},""framework"":""huggingface"",""start_time"":1647546934,""cli_version"":""0.12.11"",""is_jupyter_run"":false,""python_version"":""3.8.12"",""is_kaggle_kernel"":false,""huggingface_version"":""4.12.5""}}","","971","0.29686013320647003","85.40960989533778","0.03610992431640625","0.4136536631779258","6040","0.4058039961941009","17","16","45","1647547901","0.11746743321418762","967","0.0000019271099616136235","87.4210275927688","45","{""size"":23248010,""_type"":""image-file"",""width"":4204,""format"":""png"",""height"":4204,""sha256"":""d5ca1fc7fb46f0e68f4823e3239588a1f9be2fd96c390d67cfd87f678f9a82d5"",""caption"":""lpi_44.png"",""path"":""media/images/final_image_1102_d5ca1fc7fb46f0e68f48.png""}","0.0002315044403076172","0.10252140818268315","4.605199813842773","{""width"":128,""format"":""png"",""height"":128,""sha256"":""307470fbf03b06a28c606739a9bd5a58ff757f17e4ef471efbcdb3dfe171c8d2"",""caption"":""train_lpi_44_0.png"",""path"":""media/images/train/images_1116_307470fbf03b06a28c60.png"",""size"":26882,""_type"":""image-file""}","0.29352997145575643","{""path"":""media/images/val/images_1127_cd58b3fb25c09c6e281a.png"",""size"":26384,""_type"":""image-file"",""width"":128,""format"":""png"",""height"":128,""sha256"":""cd58b3fb25c09c6e281af1a9007426d0e2e85e33c281ddd1d81d6a8c781bacfe"",""caption"":""eval_lpi_45_0.png""}","2.4408092498779297","1140","4204","0.10870599429115128"
"PubMedBERT","3.16","false","0.014142","0.001","0.000001","0","./logs/","lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-17-18-29-23","0","1234","0.9","0.98","false","LSTMCNN-EMB","true","45","","4204","1500","1","tcp://127.0.0.1:6100","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-17-18-29-23/out.log","","17397","./data/mimic3/new_test_data_unique_embed_PubMedBERT_chunked_meanpooler_prepro.pickle","true","false","20","amp","all","true","128","","./data/mimic3/new_extended_data_unique_embed_PubMedBERT_chunked_meanpooler_prepro.pickle","1","filepath","false","","true","false","PubMedBERT chunked meanpooler prepro","mimic-emb","nccl","","cosine","false","	","1","1","1","false","false","128","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-17-18-29-23/checkpoints","title","false","false","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-17-18-29-23/tensorboard","false","","2","2","768","{""desc"":null,""value"":{""t"":{""1"":[1,5,11,41,49],""2"":[1,5,11,41,49],""3"":[2,3,15,16],""4"":""3.8.12"",""5"":""0.12.11"",""6"":""4.12.5"",""8"":[5]},""framework"":""huggingface"",""start_time"":1647538169,""cli_version"":""0.12.11"",""is_jupyter_run"":false,""python_version"":""3.8.12"",""is_kaggle_kernel"":false,""huggingface_version"":""4.12.5""}}","","965","0.27783063748810655","96.07040913415794","0.03616213798522949","0.3836822074215034","6040","0.3829686013320647","19","19","45","1647539130","0.16825801134109497","961","0.0000019271099616136235","99.06493815413891","45","{""format"":""png"",""height"":4204,""sha256"":""a58184ea382df4571ff16ac14d506d9cc173c922456ef948844a37b17b27b90a"",""caption"":""lpi_44.png"",""path"":""media/images/final_image_1102_a58184ea382df4571ff1.png"",""size"":23112060,""_type"":""image-file"",""width"":4204}","0.0002353191375732422","0.09752616555661275","4.605199813842773","{""path"":""media/images/train/images_1116_6122d54748aa0d25755a.png"",""size"":26610,""_type"":""image-file"",""width"":128,""format"":""png"",""height"":128,""sha256"":""6122d54748aa0d25755a005d1034e86d5f8c6b796782cd21ace3c8aca41faec0"",""caption"":""train_lpi_44_0.png""}","0.2725975261655566","{""width"":128,""format"":""png"",""height"":128,""sha256"":""31080c546997594575262f776a63f8496f669bad1555d2f56b16b4b1a19cd07a"",""caption"":""eval_lpi_45_0.png"",""path"":""media/images/val/images_1127_31080c54699759457526.png"",""size"":26032,""_type"":""image-file""}","2.77650785446167","1140","4204","0.1022835394862036"
"RoBERTa","3.16","false","0.014142","0.001","0.000001","0","./logs/","lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-20-12-41-19","0","1234","0.9","0.98","false","LSTMCNN-EMB","true","45","","4204","1500","1","tcp://127.0.0.1:6100","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-20-12-41-19/out.log","","17397","./data/mimic3/new_test_data_unique_embed_RoBERTa_chunked_meanpooler_prepro.pickle","true","false","20","amp","all","true","128","","./data/mimic3/new_extended_data_unique_embed_RoBERTa_chunked_meanpooler_prepro.pickle","1","filepath","false","","true","false","RoBERTa chunked meanpooler prepro","mimic-emb","nccl","","cosine","false","	","1","1","1","false","false","128","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-20-12-41-19/checkpoints","title","false","false","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-20-12-41-19/tensorboard","false","","2","2","768","{""desc"":null,""value"":{""t"":{""1"":[1,5,11,41,49],""2"":[1,5,11,41,49],""3"":[2,3,15,16],""4"":""3.8.12"",""5"":""0.12.11"",""6"":""4.12.5"",""8"":[5]},""framework"":""huggingface"",""start_time"":1647776485,""cli_version"":""0.12.11"",""is_jupyter_run"":false,""python_version"":""3.8.12"",""is_kaggle_kernel"":false,""huggingface_version"":""4.12.5""}}","","930","0.266650808753568","93.63510941960038","0.037142038345336914","0.3753568030447193","6040","0.3727402473834443","20","20","45","1647777413","0.22047081589698792","928","0.0000019271099616136235","99.65366317792578","45","{""sha256"":""e6ca4d0d379ddb077cd4bd2f5a09442ed24e78583a33e87c18ef7e46169d208e"",""caption"":""lpi_44.png"",""path"":""media/images/final_image_1102_e6ca4d0d379ddb077cd4.png"",""size"":22621434,""_type"":""image-file"",""width"":4204,""format"":""png"",""height"":4204}","0.0002639293670654297","0.09372026641294004","4.605199813842773","{""size"":26327,""_type"":""image-file"",""width"":128,""format"":""png"",""height"":128,""sha256"":""877ec3918d211b25874653bea52d90dabe08993e41fae5f1a99fffe0ce525eee"",""caption"":""train_lpi_44_0.png"",""path"":""media/images/train/images_1116_877ec3918d211b258746.png""}","0.2604662226450999","{""caption"":""eval_lpi_45_0.png"",""path"":""media/images/val/images_1127_527110da4dc0645b573d.png"",""size"":26100,""_type"":""image-file"",""width"":128,""format"":""png"",""height"":128,""sha256"":""527110da4dc0645b573db67dedeb4ce7263bb2104f92b3a798a07e006b818c1a""}","2.4625072479248047","1140","4204","0.09419600380589914"
"BERT (baseline)","3.16","false","0.014142","0.001","0.000001","0","./logs/","lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-19-13-06-29","0","1234","0.9","0.98","false","LSTMCNN-EMB","true","45","","4204","1500","1","tcp://127.0.0.1:6100","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-19-13-06-29/out.log","","17397","./data/mimic3/new_test_data_unique_embed_BERT_chunked_meanpooler_prepro.pickle","true","false","20","amp","all","true","128","","./data/mimic3/new_extended_data_unique_embed_BERT_chunked_meanpooler_prepro.pickle","1","filepath","false","","true","false","BERT chunked meanpooler prepro","mimic-emb","nccl","","cosine","false","	","1","1","1","false","false","128","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-19-13-06-29/checkpoints","title","false","false","./logs/lr=0.014142_wd=0.001_agg=True_model=LSTMCNN-EMB_batchsize=128_workers=1_date=2022-03-19-13-06-29/tensorboard","false","","2","2","768","{""desc"":null,""value"":{""t"":{""1"":[1,5,11,41,49],""2"":[1,5,11,41,49],""3"":[2,3,15,16],""4"":""3.8.12"",""5"":""0.12.11"",""6"":""4.12.5"",""8"":[5]},""framework"":""huggingface"",""start_time"":1647691595,""cli_version"":""0.12.11"",""is_jupyter_run"":false,""python_version"":""3.8.12"",""is_kaggle_kernel"":false,""huggingface_version"":""4.12.5""}}","","943","0.24215033301617508","121.6755470980019","0.033893585205078125","0.3427687916270219","6040","0.3418173168411037","24","25","45","1647692534","0.17763039469718933","939","0.0000019271099616136235","121.436013320647","45","{""format"":""png"",""height"":4204,""sha256"":""f72d02b4d2ecc7f6a982853facdb683b721bac0b6d4d76328d4020483e500546"",""caption"":""lpi_44.png"",""path"":""media/images/final_image_1102_f72d02b4d2ecc7f6a982.png"",""size"":23077472,""_type"":""image-file"",""width"":4204}","0.0002944469451904297","0.08444338725023787","4.605199813842773","{""_type"":""image-file"",""width"":128,""format"":""png"",""height"":128,""sha256"":""2ed36b551ae580068ff2688d772071e1b1995305f4af65ea7fca05d374ee6ec9"",""caption"":""train_lpi_44_0.png"",""path"":""media/images/train/images_1116_2ed36b551ae580068ff2.png"",""size"":26682}","0.239058039961941","{""width"":128,""format"":""png"",""height"":128,""sha256"":""9c0c6411c5232279b34118f6d688a38d70e971aff5c8a11bb6f088a20da55c72"",""caption"":""eval_lpi_45_0.png"",""path"":""media/images/val/images_1127_9c0c6411c5232279b341.png"",""size"":26729,""_type"":""image-file""}","3.0497868061065674","1140","4204","0.08967649857278782"
